x, y, z, yaw, roll, pitch
0.565588, -0.139268, 0.0269151, 1.48825, -2.75331, -0.0385003
0.565662, -0.138271, 0.0269339, 1.48861, -2.75308, -0.0377182
0.56574, -0.137274, 0.0269603, 1.48914, -2.75308, -0.036708
0.565827, -0.136279, 0.02701, 1.48988, -2.75376, -0.034872
0.565914, -0.135284, 0.0270597, 1.49062, -2.75444, -0.0330349
0.566, -0.134289, 0.0271094, 1.49135, -2.75512, -0.0311968
0.566087, -0.133294, 0.0271591, 1.49209, -2.7558, -0.0293578
0.566174, -0.132299, 0.0272089, 1.49282, -2.75648, -0.0275178
0.566261, -0.131304, 0.0272586, 1.49343, -2.75715, -0.0256322
0.566342, -0.130308, 0.0272955, 1.49451, -2.75803, -0.0228117
0.566422, -0.129312, 0.0273267, 1.4958, -2.75901, -0.0195805
0.566502, -0.128315, 0.0273578, 1.49709, -2.75997, -0.0163467
0.566581, -0.127319, 0.027389, 1.49836, -2.76094, -0.0131105
0.566661, -0.126323, 0.0274202, 1.49964, -2.7619, -0.00987189
0.56674, -0.125326, 0.0274514, 1.50111, -2.76286, -0.00671487
0.566804, -0.124329, 0.0274444, 1.50303, -2.76392, -0.00199808
0.566867, -0.123331, 0.0274332, 1.50503, -2.76498, 0.0028771
0.566928, -0.122333, 0.0274199, 1.50699, -2.76574, 0.00722424
0.566986, -0.121335, 0.0273968, 1.50792, -2.76524, 0.00959846
0.567043, -0.120336, 0.0273737, 1.50885, -2.76474, 0.0119718
0.567101, -0.119338, 0.0273507, 1.50978, -2.76424, 0.0143443
0.567158, -0.11834, 0.0273276, 1.51072, -2.76373, 0.0167159
0.567216, -0.117342, 0.0273046, 1.51166, -2.76323, 0.0190864
0.567273, -0.116344, 0.0272815, 1.5126, -2.76272, 0.021456
0.567331, -0.115346, 0.0272584, 1.51354, -2.7622, 0.0238246
0.567388, -0.114348, 0.0272354, 1.51449, -2.76169, 0.0261924
0.567446, -0.11335, 0.0272124, 1.51496, -2.76254, 0.0273849
0.567504, -0.112352, 0.0271894, 1.51537, -2.76355, 0.0284376
0.567561, -0.111354, 0.0271663, 1.51584, -2.76456, 0.0294687
0.567617, -0.110356, 0.0271397, 1.51663, -2.76523, 0.0308427
0.567667, -0.109358, 0.0270995, 1.51779, -2.76465, 0.033791
0.567718, -0.10836, 0.0270593, 1.51896, -2.76407, 0.0367381
0.567768, -0.107362, 0.0270191, 1.52013, -2.76348, 0.039684
0.567819, -0.106364, 0.0269789, 1.5213, -2.76289, 0.0426286
0.567869, -0.105366, 0.0269387, 1.5225, -2.7623, 0.0455609
0.567918, -0.104368, 0.0268941, 1.52347, -2.76223, 0.0479408
0.567965, -0.103371, 0.0268473, 1.52432, -2.76242, 0.0500427
0.56801, -0.102373, 0.026794, 1.52479, -2.76248, 0.0512009
0.568055, -0.101376, 0.0267382, 1.52511, -2.76247, 0.0519851
0.568099, -0.100378, 0.0266823, 1.52542, -2.76247, 0.0527694
0.568143, -0.0993806, 0.0266265, 1.52573, -2.76247, 0.0535536
0.568187, -0.0983831, 0.0265706, 1.52604, -2.76247, 0.0543379
0.568231, -0.0973857, 0.0265147, 1.52636, -2.76246, 0.0551221
0.568275, -0.0963882, 0.0264589, 1.52668, -2.76246, 0.0559027
0.568317, -0.0953909, 0.0263992, 1.52783, -2.76193, 0.058787
